,Year,R/O,Country,Artist,Song,Language,Points,Place,SF,SF_Order,SF_Points,SF_Place
1660,2022,,Bulgaria,Intelligent Music Project,Intention,English,,,1,7,29,16
1661,2022,,Croatia,Mia Dimšić,Guilty Pleasure,"English, Croatian",,,1,11,75,11
1662,2022,,Denmark,Reddi,The Show,English,,,1,12,55,13
1663,2022,,Austria,Lumix feat. Pia Maria,Halo,English,,,1,13,42,15
1664,2022,,Israel,Michael Ben David,I.M,English,,,2,2,61,13
1665,2022,,Georgia,Circus Mircus,Lock Me In,English,,,2,5,22,18
1666,2022,,Malta,Emma Muscat,I Am What I Am,English,,,2,6,47,16
1667,2022,,San Marino,Achille Lauro,Stripper,"Italian, English",,,2,7,50,14
1668,2022,,Cyprus,Andromache,Ela (Έλα),"English, Greek",,,2,9,63,12
1669,2022,,Ireland,Brooke,That's Rich,English,,,2,10,47,15
1670,2022,,Macedonia,Andrea,Circles,English,,,2,11,76,11
1671,2022,,Montenegro,Vladana,Breathe,"English, Italian",,,2,15,33,17
1373,2023,1,Austria,Teya and Salena,Who the Hell Is Edgar?,English,120,15,2,13,137,2
1374,2023,2,Portugal,Mimicat,Ai coração,Portuguese,59,23,1,5,74,9
1375,2023,3,Switzerland,Remo Forrer,Watergun,English,92,20,1,8,97,7
1376,2023,4,Poland,Blanka,Solo,English,93,19,2,9,124,3
1377,2023,5,Serbia,Luke Black,Samo mi se spava (Само ми се спава),"Serbian, English",30,24,1,3,37,10
1378,2023,6,France,La Zarra,Évidemment,French,104,16,,,,
1379,2023,7,Cyprus,Andrew Lambrou,Break a Broken Heart,English,126,12,2,6,94,7
1380,2023,8,Spain,Blanca Paloma,Eaea,Spanish,100,17,,,,
1381,2023,9,Sweden,Loreen,Tattoo,English,583,1,1,11,135,2
1382,2023,10,Albania,Albina and Familja Kelmendi,Duje,Albanian,76,22,2,14,83,9
1383,2023,11,Italy,Marco Mengoni,Due vite,Italian,350,4,,,,
1384,2023,12,Estonia,Alika,Bridges,English,168,8,2,4,74,10
1385,2023,13,Finland,Käärijä,Cha Cha Cha,Finnish,526,2,1,15,177,1
1386,2023,14,Czech Republic,Vesna,My Sister's Crown,"English, Ukrainian, Czech, Bulgarian",129,10,1,13,110,4
1387,2023,15,Australia,Voyager,Promise,English,151,9,2,16,149,1
1388,2023,16,Belgium,Gustaph,Because of You,English,182,7,2,5,90,8
1389,2023,17,Armenia,Brunette,Future Lover,"English, Armenian",122,14,2,2,99,6
1390,2023,18,Moldova,Pasha Parfeni,Soarele și luna,Romanian,96,18,1,10,109,5
1391,2023,19,Ukraine,Tvorchi,Heart of Steel,"English, Ukrainian",243,6,,,,
1392,2023,20,Norway,Alessandra,Queen of Kings,English,268,5,1,1,102,6
1393,2023,21,Germany,Lord of the Lost,Blood & Glitter,English,18,26,,,,
1394,2023,22,Lithuania,Monika Linkytė,Stay,English,127,11,2,15,110,4
1395,2023,23,Israel,Noa Kirel,Unicorn,English,362,3,1,9,127,3
1396,2023,24,Slovenia,Joker Out,Carpe Diem,Slovene,78,21,2,10,103,5
1397,2023,25,Croatia,Let 3,Mama ŠČ!,Croatian,123,13,1,7,76,8
1398,2023,26,United Kingdom,Mae Muller,I Wrote a Song,English,24,25,,,,
1672,2023,,Malta,The Busker,Dance (Our Own Party),English,,,1,2,3,15
1673,2023,,Latvia,Sudden Lights,Aijā,English,,,1,4,34,11
1674,2023,,Ireland,Wild Youth,We Are One,English,,,1,6,10,12
1675,2023,,Azerbaijan,TuralTuranX,Tell Me More,English,,,1,12,4,14
1676,2023,,Netherlands,Mia Nicolai and Dion Cooper,Burning Daylight,English,,,1,14,7,13
1677,2023,,Denmark,Reiley,Breaking My Heart,English,,,2,1,6,14
1678,2023,,Romania,Theodor Andrei,D.G.T. (Off and On),"Romanian, English",,,2,3,0,15
1679,2023,,Iceland,Diljá,Power,English,,,2,7,44,11
1680,2023,,Greece,Victor Vernicos,What They Say,English,,,2,8,14,13
1681,2023,,Georgia,Iru,Echo,English,,,2,11,33,12
1682,2023,,San Marino,Piqued Jacks,Like an Animal,English,,,2,12,0,16
